2022-12-08 11:29:42,379 | BemsService | INFO | succeed to do 'PostAhuTotalPowerDaily('20100111',20100114)'
2022-12-08 11:32:30,497 | BemsService | INFO | succeed to do 'PostAhuTotalPowerHourly('20100114')'
2022-12-08 20:10:43,145 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110605')'
2022-12-08 20:11:40,656 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110605')'
2022-12-08 20:11:50,257 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110605')'
2022-12-08 20:12:45,856 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110604')'
2022-12-08 20:13:15,164 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110602')'
2022-12-08 20:22:48,997 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110604')'
2022-12-09 09:15:14,959 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110605')'
2022-12-09 09:15:43,867 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:17:20,753 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110603')'
2022-12-09 09:18:48,019 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:24:06,683 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110531')'
2022-12-09 09:33:09,735 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:33:34,291 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110531')'
2022-12-09 09:33:37,502 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110603')'
2022-12-09 09:34:02,655 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110602')'
2022-12-09 09:45:49,257 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:05,548 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:08,050 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:18,507 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:20,164 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:32,337 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:37,777 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:46:45,456 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:46:49,774 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110603')'
